;Unnamed: 0;id;latitud;longitud;autor;barrio;verso;direccion;openai_sentiment;quarter;district;city;robertuito_sentiment;robertuito_sentiment_probas
15;15;1014;40.4821114;-3.7176758;﻿Marifé Santiago;﻿CARDENAL HERRERA ORIA;Donde la distancia entre la tierra y nuestras manos era la medida de todas las cosas;﻿C/ Cardenal Herrera Oria 239;positive;Peñagrande;Fuencarral-El Pardo;Madrid;neutral;"{""NEG"": 0.13762113451957703, ""NEU"": 0.6590589284896851, ""POS"": 0.2033199518918991}"
16;16;1015;40.4770487;-3.7314315;﻿Axé;﻿FUENCARRAL-EL PARDO;La voz que tripula este barco navega sin olas.;﻿Av. del Cardenal Herrera Oria (Impares) - C/de Inocencio Fernández;positive;Peñagrande;Fuencarral-El Pardo;Madrid;neutral;"{""NEG"": 0.2131824642419815, ""NEU"": 0.6086204648017883, ""POS"": 0.17819710075855255}"
17;17;1017;40.4761438;-3.7191483;﻿evachin;﻿EL PILAR;Por ti, que eres cuerpo sostenido en un alma bemol sale Sol, brilla La, sale Sol;﻿Av. Monforte de Lemos- Calle de Cándido Mateos;positive;Peñagrande;Fuencarral-El Pardo;Madrid;positive;"{""NEG"": 0.01860402524471283, ""NEU"": 0.14867162704467773, ""POS"": 0.832724392414093}"
18;18;1018;40.4685801;-3.6736768;﻿Sandra Ortega Larrumbide;﻿CHAMARTÍN;Amor es llegar en el momento oportuno y ser del tamaño del hueco vacío del otro.;﻿C/ Pio XII 77;positive;Castilla;Chamartín;Madrid;positive;"{""NEG"": 0.09841173142194748, ""NEU"": 0.43150439858436584, ""POS"": 0.47008392214775085}"
19;19;1019;40.4649265;-3.685567;﻿Paula Izquierdo;﻿CHAMARTÍN;Sola, inmersa en el ruido de la ciudad, oigo el silencio de la vida arrostrándose;﻿Calle Gral. López Pozas - Frente a Calle Francisco Suárez;positive;Nueva España;Chamartín;Madrid;negative;"{""NEG"": 0.7674807906150818, ""NEU"": 0.21030516922473907, ""POS"": 0.022214071825146675}"
20;20;101;40.4892851;-3.7006653;﻿José María Castrillón Suárez;﻿MIRASIERRA;Somos préstamos de calor;﻿C/ Cardenal Herrera Oria 81;positive;La Paz;Fuencarral-El Pardo;Madrid;neutral;"{""NEG"": 0.25597962737083435, ""NEU"": 0.6607736945152283, ""POS"": 0.08324670791625977}"
21;21;1020;40.4593869;-3.6686906;﻿gmm81;﻿CHAMARTÍN;Te espero en la orilla del sueño de siempre;﻿Av. de Alfonso XII (Impares) - Plaza José María Soler;positive;Nueva España;Chamartín;Madrid;neutral;"{""NEG"": 0.21606974303722382, ""NEU"": 0.6150028705596924, ""POS"": 0.16892749071121216}"
22;22;1021;40.4726518;-3.6483407;﻿Nerea Delgado;﻿PINAR DEL REY;Nuestros castillos de arena están a salvo: se ha secado el mar de dudas;﻿Calle de Valdetorres de Jarama- Plaza Santos de la Humosa;positive;Pinar del Rey;Hortaleza;Madrid;neutral;"{""NEG"": 0.21721844375133514, ""NEU"": 0.5766067504882812, ""POS"": 0.2061748206615448}"
23;23;1022;40.4499109;-3.6081076;﻿Esher Ampuero Gordo;﻿HORTALEZA;Y tú, ¿a cuál de todas tus cicatrices le escribes?;﻿Av. de Logroño- A2;positive;Palomas;Hortaleza;Madrid;neutral;"{""NEG"": 0.24652375280857086, ""NEU"": 0.703251302242279, ""POS"": 0.0502249114215374}"
24;24;1023;40.459091;-3.7840739;﻿Joaquim Moral Fernàndez-Juncosa;﻿MONCLOA-ARAVACA;Que el teu camí sigui llarg, i ben aviat entenguis que la ciutat és casa.;﻿Av. de la Osa Mayor 85;positive;;Moncloa-Aravaca;Madrid;positive;"{""NEG"": 0.10908082872629166, ""NEU"": 0.22878339886665344, ""POS"": 0.6621358394622803}"
25;25;1024;40.4525601;-3.6995172;﻿Mariano Peyrou;﻿CUATRO CAMINOS;A veces parecía que podríamos satisfacer los deseos contradictorios.;﻿C/de Avila - C/de Dulcinea;positive;Cuatro Caminos;Tetuán;Madrid;negative;"{""NEG"": 0.621612012386322, ""NEU"": 0.33430802822113037, ""POS"": 0.04407995194196701}"
26;26;1025;40.4452795;-3.7030765;﻿Alba Gaia;﻿CHAMBERÍ;Dale alas a un pensamiento y saldrás volando.;﻿Calle Santa Engracia 152;positive;Ríos Rosas;Chamberí;Madrid;positive;"{""NEG"": 0.03617345914244652, ""NEU"": 0.3377543091773987, ""POS"": 0.6260722279548645}"
27;27;1026;40.4557032;-3.686833;﻿Juan Merallo Grande;﻿CHAMARTÍN;En este precioso lugar secuestraste mi tristeza, chica de la bicicleta;﻿Calle de Padre Damián nº 20 (escuela);positive;Hispanoamérica;Chamartín;Madrid;negative;"{""NEG"": 0.5334234833717346, ""NEU"": 0.37214675545692444, ""POS"": 0.09442979842424393}"
28;28;1027;40.4497557;-3.6879167;﻿LEON BENAVENTE;﻿EL VISO;Contaré hasta 3 y si en ese momento no hemos parado, nada nos va a detener. 1, 2;﻿Paso de la Habana 42 - Calle de Balbina Valverde;positive;El Viso;Chamartín;Madrid;positive;"{""NEG"": 0.014576535671949387, ""NEU"": 0.3768267333507538, ""POS"": 0.6085967421531677}"
29;29;1028;40.4437086;-3.6918421;﻿TFR;﻿CHAMBERÍ;Segundos eternos y horas efímeras a tu lado;﻿Calle de la Castellana -Sala de Exposiciones La Arquería;positive;Ríos Rosas;Chamberí;Madrid;positive;"{""NEG"": 0.047272954136133194, ""NEU"": 0.36734744906425476, ""POS"": 0.5853796005249023}"
30;30;1029;40.442194;-3.6857923;﻿María Eloy-García;﻿EL VISO;Te cedo el paso. Te cedo el peso. Te cedo el piso Te cedo el poso. Y te cedo el pulso;﻿Calle Serrano 144-Calle Pablo Aranda;positive;El Viso;Chamartín;Madrid;neutral;"{""NEG"": 0.039259836077690125, ""NEU"": 0.7044480443000793, ""POS"": 0.2562922239303589}"
31;31;102;40.4302114;-3.7172573;﻿Marina Oroza;﻿ARGÜELLES;Al corazón de piedra le brota un tallo;﻿Calle del Marqués de Urquijo 11 -Calle Tutor;positive;Argüelles;Moncloa-Aravaca;Madrid;neutral;"{""NEG"": 0.4629482924938202, ""NEU"": 0.4669613242149353, ""POS"": 0.07009042054414749}"
32;32;1030;40.4482391;-3.6679771;﻿Jesús Ruiz Mantilla;﻿ALFONSO XIII;El ser humano debe morir: no ha aprendido a enlazar el final con el principio.;﻿Calle Lopez de Hoyos- Calle Clara del Rey;positive;Prosperidad;Chamartín;Madrid;negative;"{""NEG"": 0.9678589701652527, ""NEU"": 0.029117140918970108, ""POS"": 0.0030238700564950705}"
33;33;1031;40.4405191;-3.6279385;﻿Viera3;﻿SAN BLAS;Todo lo que no sea luchado, ya está perdido;﻿calle Alcalá - Calle Rufino González;positive;;San Blas - Canillejas;Madrid;negative;"{""NEG"": 0.5724334716796875, ""NEU"": 0.3765643537044525, ""POS"": 0.05100229009985924}"
34;34;1032;40.432791;-3.6345139;﻿Inma Luna;﻿SAN BLAS;Me paso la vida derribando puertas completamente abiertas;﻿Av de la Institución libre de enseñanza- Calle Ascao;positive;Pueblo Nuevo;Ciudad Lineal;Madrid;neutral;"{""NEG"": 0.34354519844055176, ""NEU"": 0.4759909212589264, ""POS"": 0.18046388030052185}"
35;35;1033;40.4358687;-3.6367536;﻿Poetaimperfecta;﻿CIUDAD LINEAL;El mar de ilusiones aguarda, los granos de arena se acaban, lánzate ya;﻿Av. de la Institución libre de enseñanza- Calle del Dr.Cirajas;positive;Pueblo Nuevo;Ciudad Lineal;Madrid;negative;"{""NEG"": 0.582008957862854, ""NEU"": 0.3854455053806305, ""POS"": 0.032545529305934906}"
36;36;1034;40.4245148;-3.6157894;﻿LuaraMB;﻿SAN BLAS;Desenchufémonos para volver a conectar :)!;﻿Calle de Arcos de Jalón- Calle la Albericia;positive;Arcos;San Blas - Canillejas;Madrid;positive;"{""NEG"": 0.01322193630039692, ""NEU"": 0.46441200375556946, ""POS"": 0.5223660469055176}"
37;37;1035;40.4206352;-3.7153369;﻿Campe;﻿MONCLOA-ARAVACA;Cada persona hace diferentes las mismas calles;﻿Cuesta San Vicente 22 - Calle Arriaza;positive;Argüelles;Moncloa-Aravaca;Madrid;neutral;"{""NEG"": 0.14128540456295013, ""NEU"": 0.7250171303749084, ""POS"": 0.13369740545749664}"
38;38;1036;40.4276996;-3.6963738;﻿Chus Tellez;﻿CENTRO;Maletas perdidas en Atocha Besos perdidos en la Latina y pasos a la deriva...;﻿Calle Sagasta 32 -Plaza Santa Bárbara 4;positive;Justicia;Centro;Madrid;negative;"{""NEG"": 0.569265604019165, ""NEU"": 0.39065542817115784, ""POS"": 0.040078990161418915}"
39;39;1037;40.4343539;-3.7166512;﻿Oscar Espirita;﻿MONCLOA;¿Cómo pueden romperse las cosas que nos unen?;﻿Calle Hilarión Eslava - Calle de Fernando el Católico;positive;Gaztambide;Chamberí;Madrid;negative;"{""NEG"": 0.8725618720054626, ""NEU"": 0.1146068125963211, ""POS"": 0.012831400148570538}"
40;40;1038;40.4314915;-3.7033313;﻿alvarudo;﻿CHAMBERÍ;Ojala no acabase nunca la primera vez de algo.;﻿Calle de Fuencarral 36-Calle de Jerónimo de la Quintana;positive;Trafalgar;Chamberí;Madrid;neutral;"{""NEG"": 0.45503532886505127, ""NEU"": 0.4731031060218811, ""POS"": 0.07186160236597061}"
41;41;1039;40.4379671;-3.6915431;﻿Valkirya;﻿CHAMBERÍ;No vivas deprisa todo lo que puedas disfrutar lentamente;﻿Calle de José Abascal-Paseo de la Castellana;positive;Almagro;Chamberí;Madrid;neutral;"{""NEG"": 0.13044919073581696, ""NEU"": 0.5178543925285339, ""POS"": 0.3516964316368103}"
42;42;103;40.4306749;-3.6888662;﻿Darmo;﻿SALAMANCA;Por dónde empiezo si no recuerdo el comienzo;﻿Paseo de la Castellana 24 -Calle del Marqués de Riscal;positive;Castellana;Salamanca;Madrid;neutral;"{""NEG"": 0.1801878958940506, ""NEU"": 0.7871253490447998, ""POS"": 0.03268677368760109}"
43;43;1040;40.4292211;-3.6897942;﻿FlorKa;﻿CHAMBERÍ;Pensarte es como tomar prestada una melodía;﻿Paseo de la Castellana-Calle de Zurbarán;positive;Almagro;Chamberí;Madrid;neutral;"{""NEG"": 0.3803104758262634, ""NEU"": 0.5527794361114502, ""POS"": 0.06691006571054459}"
44;44;1041;40.428139;-3.6897513;﻿Lilith y tú;﻿CHAMBERÍ;Zure taupadak gure ingurunea zabaltzen du;﻿Paseo de la Castellana-Calle de Ayala;positive;Almagro;Chamberí;Madrid;neutral;"{""NEG"": 0.43598219752311707, ""NEU"": 0.3884541690349579, ""POS"": 0.17556364834308624}"
45;45;1042;40.4351806;-3.6625564;﻿Atomilab;﻿SALAMANCA;Todo el tiempo buscando en las redes y acabé en las tuyas;﻿Calle de Martinez izquierdo-Calle de Alberto Martín Artajo;positive;Guindalera;Salamanca;Madrid;negative;"{""NEG"": 0.8501226305961609, ""NEU"": 0.14262895286083221, ""POS"": 0.007248386275023222}"
46;46;1043;40.4293275;-3.6658273;﻿Casiopea;﻿SALAMANCA;Caminar nos hace fuertes Pensar nos hace libres, reír nos hace felices;﻿Calle Alcalá entre calle Rufino Blanco-calle del Maestro Alonso;positive;Fuente del Berro;Salamanca;Madrid;positive;"{""NEG"": 0.00974920205771923, ""NEU"": 0.09839539974927902, ""POS"": 0.8918553590774536}"
47;47;1044;40.4187953;-3.692632;﻿Cristian Esteban Martín;﻿CENTRO;Si no existiesen los poetas, los invendibles ¿Quién hablaría de lo huérfano?;﻿Paseo del Prado 1 (Correos);positive;Jerónimos;Retiro;Madrid;neutral;"{""NEG"": 0.4104287326335907, ""NEU"": 0.5398953557014465, ""POS"": 0.04967593774199486}"
48;48;1045;40.4105593;-3.71829;﻿David Trashumante;﻿IMPERIAL;Seré blanca escucha, la sombra tras los pasos vivos de mi muerte;﻿Paseo Imperial-Paseo de los Melancólicos;positive;Imperial;Arganzuela;Madrid;neutral;"{""NEG"": 0.35593128204345703, ""NEU"": 0.5766071677207947, ""POS"": 0.06746156513690948}"
49;49;1046;40.4162408;-3.6692204;﻿Mireia Calafell Obiol;﻿ESTRELLA;No. No ho vulgueu tot, que el tot està venint. Té tanta pressa com vosaltres.;﻿Calle Doctor Esquerdo 97 - Calle Alcalde Sainz de Baranda;positive;Estrella;Retiro;Madrid;negative;"{""NEG"": 0.5417314767837524, ""NEU"": 0.3028181493282318, ""POS"": 0.15545041859149933}"
50;50;1047;40.4040513;-3.6369104;﻿Sara Rubio Garrido;﻿MORATALAZ;Si nos estamos cruzando no puede ser casualidad;﻿Calle Luis de Hoyo Sáinz (colegio);positive;Vinateros;Moratalaz;Madrid;neutral;"{""NEG"": 0.1236073449254036, ""NEU"": 0.6071323752403259, ""POS"": 0.2692602872848511}"
51;51;1048;40.385006;-3.7182034;﻿Antonio Remache;﻿PLAZA ELÍPTICA;Me falta un beso y me sobra una despedida;﻿Vía Lusitana - Plaza Elíptica;positive;Abrantes;Carabanchel;Madrid;neutral;"{""NEG"": 0.2649781107902527, ""NEU"": 0.619079053401947, ""POS"": 0.1159428209066391}"
52;52;1049;40.3999253;-3.6909676;﻿Nach;﻿DELICIAS;No hay certeza más bella que el hecho de saber que aún queda tiempo.;﻿Calle del Gral. Lacy- Calle de Ramírez de Prado;positive;Palos de la Frontera;Arganzuela;Madrid;positive;"{""NEG"": 0.006849012803286314, ""NEU"": 0.05322582274675369, ""POS"": 0.9399251341819763}"
53;53;104;40.4137901;-3.7168256;﻿Macarena Castaño Carrasco;﻿CENTRO;Silencia la ciudad. En la pausa te escuchas.;﻿Ronda de Segovia-Calle de Segovia;positive;Palacio;Centro;Madrid;neutral;"{""NEG"": 0.20585231482982635, ""NEU"": 0.7150986194610596, ""POS"": 0.07904907315969467}"
54;54;1050;40.4002225;-3.649883;﻿Elena Grausen;﻿PUENTE DE VALLECAS;"Quererte como sólo tú me enseñaste a querer; por encima de mis posibilidades.";﻿C/ El Bosco (frente a puente peatonal) - C/de Ramón Pérez de Ayala;positive;Numancia;Puente de Vallecas;Madrid;neutral;"{""NEG"": 0.15942423045635223, ""NEU"": 0.4235771894454956, ""POS"": 0.41699862480163574}"
55;55;1051;40.3865643;-3.6973715;﻿Víctor Manuel;﻿USERA;Digo España y qué bien suena esa palabra. No la arrojo contra nadie, contra nada;﻿C/ Antonio López 169;positive;Almendrales;Usera;Madrid;positive;"{""NEG"": 0.024538185447454453, ""NEU"": 0.12368643283843994, ""POS"": 0.8517754077911377}"
56;56;1052;40.3439151;-3.6930665;﻿Gema Fernández Martínez;﻿CARABANCHEL;Como un mantra doméstico repito: Una hemorragia, el mundo. Tú y yo un coágulo.;﻿Av. de Andalucía (mercadona)- Calle de S. Dalmacio;positive;;Villaverde;Madrid;neutral;"{""NEG"": 0.14571964740753174, ""NEU"": 0.7897402048110962, ""POS"": 0.06454012542963028}"
57;57;1053;40.4665558;-3.6862885;﻿Loreto Sesma;﻿PZA. CASTILLA;Quédate el beso, quema el verso, quítate el peso y vuela;﻿C/ Mateo Inurria 13 (del lado de los pares);positive;Castilla;Chamartín;Madrid;neutral;"{""NEG"": 0.12499446421861649, ""NEU"": 0.659831702709198, ""POS"": 0.2151738703250885}"
58;58;1054;40.4551521;-3.702532;﻿javierlópex;﻿TETUÁN;Los pasos que nos dictaron nunca fueron nuestros;﻿C/ Bravo Murillo 194;positive;Berruguete;Tetuán;Madrid;negative;"{""NEG"": 0.688086211681366, ""NEU"": 0.2624952495098114, ""POS"": 0.0494186170399189}"
59;59;1055;40.4325757;-3.725021;﻿Lena Carrilero;﻿MONCLOA-ARAVACA;De qué sirve tener tantos pájaros en la cabeza si ninguno sabe volar;﻿Paseo del Moret - Avenida del Pintor Rosales;positive;Casa de Campo;Moncloa-Aravaca;Madrid;negative;"{""NEG"": 0.7648452520370483, ""NEU"": 0.21895098686218262, ""POS"": 0.016203707084059715}"
60;60;1056;40.4301204;-3.6642931;﻿Alberto Muñoz García;﻿VENTAS;El silencio como un unicornio nocturno muriéndose en el óvalo de la nada.;﻿Calle Alcalá-Calle Bocángel;positive;Fuente del Berro;Salamanca;Madrid;negative;"{""NEG"": 0.5403676629066467, ""NEU"": 0.42791423201560974, ""POS"": 0.03171804919838905}"
61;61;1057;40.4092972;-3.6884773;﻿Martín López-Vega;﻿CENTRO;Deja sin responder todas las preguntas y atiende sólo a lo que late;﻿Calle de Alfonso XII-Puerta del Ángel Caído;positive;Jerónimos;Retiro;Madrid;neutral;"{""NEG"": 0.34555429220199585, ""NEU"": 0.6170783638954163, ""POS"": 0.03736736625432968}"
62;62;1058;40.4181102;-3.6690849;﻿Teresa Garrido González;﻿RETIRO;Si miras al cielo eres un pastor de nubes;﻿Calle Doctor Esquerdo 83 (Hospital Beata María Ana);positive;Estrella;Retiro;Madrid;neutral;"{""NEG"": 0.2787572145462036, ""NEU"": 0.3818228244781494, ""POS"": 0.3394199013710022}"
63;63;1059;40.4105174;-3.6579979;﻿elpirulí;﻿MORATALAZ;Cada 12 horas el río es la ría, cada 12 horas el mar es la mar. Cada 12 horas.;﻿C/ del Camino de los Vinateros (Pares)  - C/ del Corregidor Diego de Valderrábano;positive;Media Legua;Moratalaz;Madrid;neutral;"{""NEG"": 0.08654830604791641, ""NEU"": 0.6598379015922546, ""POS"": 0.2536138594150543}"
64;64;105;40.413927;-3.7118474;﻿José Miguel Cuervo Baños;﻿CENTRO;Más Amor y Menos Gigas;﻿Calle de Segovia-Plaza de la Cruz Verde;positive;Palacio;Centro;Madrid;neutral;"{""NEG"": 0.18168802559375763, ""NEU"": 0.6517773270606995, ""POS"": 0.1665346920490265}"
65;65;1060;40.3974016;-3.6968591;﻿Bella;﻿ARGANZUELA;The only way to fly is not to fear the heights;﻿Calle Embajadores 133;positive;Delicias;Arganzuela;Madrid;positive;"{""NEG"": 0.278351366519928, ""NEU"": 0.3580821454524994, ""POS"": 0.36356645822525024}"
66;66;1061;40.4062072;-3.6797736;﻿Fangoria;﻿PACÍFICO;Todo en este plan espectacular, una vieja superstar se ha cansado de esperar;﻿Avenida Menéndez Pelayo 28 - Calle Valderribas;positive;Pacífico;Retiro;Madrid;negative;"{""NEG"": 0.5824893116950989, ""NEU"": 0.38214996457099915, ""POS"": 0.0353606641292572}"
67;67;1062;40.3732364;-3.7416628;﻿Almudena Vega;﻿CARABANCHEL;Aprendamos de óxido esa hazaña del metal por escapar de la forma.;﻿Av. de los Poblados;positive;Buenavista;Carabanchel;Madrid;neutral;"{""NEG"": 0.10857786238193512, ""NEU"": 0.5989940166473389, ""POS"": 0.2924281656742096}"
68;68;1063;40.4792481;-3.6917079;﻿ANA MARIA TORRES BRAVO;﻿FUENCARRAL-EL PARDO;Llegaré tarde. Salí con el tiempo justo en el año equivocado.;﻿Av. de Monforte de Lemos- Calle de Pedro Rico;positive;La Paz;Fuencarral-El Pardo;Madrid;negative;"{""NEG"": 0.8682180047035217, ""NEU"": 0.12181057780981064, ""POS"": 0.009971355088055134}"
69;69;1064;40.456746;-3.6978865;﻿Macamen Alonso.;﻿TETUÁN;Os adornos efémeros agachan unha trampa. A beleza distrae.;﻿C/ San Germán 44;positive;Cuatro Caminos;Tetuán;Madrid;negative;"{""NEG"": 0.7005716562271118, ""NEU"": 0.21106582880020142, ""POS"": 0.08836250752210617}"
70;70;1065;40.451364;-3.6814768;﻿Miguel CM;﻿CHAMARTÍN;Dime qué no puedo hacer y lo haré gracias a ti.;﻿Calle Serrano-Av. de Concha Espina;positive;El Viso;Chamartín;Madrid;neutral;"{""NEG"": 0.1507577747106552, ""NEU"": 0.6305313110351562, ""POS"": 0.21871092915534973}"
71;71;1066;40.4232571;-3.6354312;﻿elnaveiras;﻿AMPOSTA;ellos y ellas no deberían encontrar fronteras  tú y yo no deberíamos crearlas;﻿Calle Francisco Largo Caballero-Calle Nicolás Salmerón;positive;Pueblo Nuevo;Ciudad Lineal;Madrid;neutral;"{""NEG"": 0.42641502618789673, ""NEU"": 0.49044594168663025, ""POS"": 0.0831390917301178}"
72;72;1067;40.4254082;-3.7074459;﻿Pascual Cantero;﻿NOVICIADO;Llegué hasta ti, iba buscando un sueño y me perdí por bares y por calles de Madrid.;﻿Calle de San Bernardo- Calle de Noviciado;positive;Universidad;Centro;Madrid;neutral;"{""NEG"": 0.2786727547645569, ""NEU"": 0.6228529810905457, ""POS"": 0.0984741672873497}"
73;73;1068;40.4246435;-3.6710523;﻿Julia Navas Moreno;﻿SALAMANCA;Tienes miedo de mí, de tu pequeñez, de ti mismo pero es a mí a quien cercenas;﻿Calle de la Fuente del Berro;neutral;Goya;Salamanca;Madrid;negative;"{""NEG"": 0.9111881852149963, ""NEU"": 0.07806484401226044, ""POS"": 0.010747012682259083}"
74;74;1069;40.3992819;-3.6845425;﻿Óscar Ayala;﻿ARGANZUELA;El mundo no transforma la palabra, pero sí la manera de estar en la palabra.;﻿Calle de Médez Álvaro - Plaza del Amanecer en Méndez Álvaro;positive;Delicias;Arganzuela;Madrid;neutral;"{""NEG"": 0.07530340552330017, ""NEU"": 0.6631703972816467, ""POS"": 0.2615261673927307}"
75;75;106;40.4109964;-3.6670008;﻿MORGAN;﻿ESTRELLA;Cúrame viento, ven a mí y llévame lejos.;﻿Calle de los Astros 14 - Calle de la Estrella Polar;positive;Estrella;Retiro;Madrid;neutral;"{""NEG"": 0.1860569715499878, ""NEU"": 0.5391271710395813, ""POS"": 0.2748158276081085}"
76;76;1070;40.3916624;-3.6541504;﻿Fito Páez;﻿PUENTE DE VALLECAS;Ella se vuelve carmesí, no sé si es Baires o Madrid;﻿Av. de la Albufera - Calle Pío Felipe;neutral;Numancia;Puente de Vallecas;Madrid;neutral;"{""NEG"": 0.2852723300457001, ""NEU"": 0.6867028474807739, ""POS"": 0.028024822473526}"
77;77;1071;40.3824087;-3.7431863;﻿Nuria Ruiz de Viñaspre;﻿CARABANCHEL;Me ha crecido un bosque por dentro;﻿C/ Gral. Ricardos 195 (del lado de los pares) - C/ del Espinar;positive;Vista Alegre;Carabanchel;Madrid;neutral;"{""NEG"": 0.4079788327217102, ""NEU"": 0.2780262231826782, ""POS"": 0.31399497389793396}"
