;Unnamed: 0;id;latitud;longitud;autor;barrio;verso;direccion;openai_sentiment;quarter;district;city;twitter-xml_sentiment;twitter-xml_anger;twitter-xml_disgust;twitter-xml_fear;twitter-xml_joy;twitter-xml_sadness;twitter-xml_surprise;twitter-xml_others;twitter-xml_as_positive;twitter-xml_as_neutral;twitter-xml_as_negative
10;10;100;40.4931638;-3.6476434;﻿Fede y Clara;﻿HORTALEZA;Yo seré mimoso, pero tú serás mi musa;﻿Av. de Niceto Alcalá Zamora (Parque) - referencia C/ Fernando de Rojas;positive;Valdefuentes;Hortaleza;Madrid;neutral;0.0;0.0;0.0;0.0;0.0;0.0;0.4832134246826172;0.0;0.4832134246826172;0.0
11;11;1010;40.4326349;-3.6834669;﻿Yamidich;﻿SALAMANCA;Soy origen y descendencia, soy luz, sombra y herencia, soy mujer soy resiliencia;﻿Calle de Juan Bravo-Calle de Velázquez;positive;Castellana;Salamanca;Madrid;positive;0.0;0.0;0.0;0.4661458134651184;0.0;0.0;0.0;0.4661458134651184;0.0;0.0
12;12;1011;40.4231702;-3.6728252;﻿AmeDuv Poesía;﻿SALAMANCA;En memoria de las auténticas cebras, las que en el Mioceno galopaban por Madrid;﻿Calle Lombida-Calle de Jorge Juan;positive;Goya;Salamanca;Madrid;neutral;0.0;0.0;0.0;0.0;0.0;0.0;0.6219589710235596;0.0;0.6219589710235596;0.0
13;13;1012;40.4215142;-3.6802147;﻿Esther Ramón;﻿IBIZA;Nacer fue algo oblicuo. No se incendia el bosque sino el interior de cada árbol.;﻿Calle O´donnell 4;positive;Ibiza;Retiro;Madrid;neutral;0.0;0.0;0.0;0.0;0.0;0.0;0.5026944875717163;0.0;0.5026944875717163;0.0
14;14;1013;40.419266;-3.6655015;﻿Morodo;﻿O`DONELL;Peladitos ven TV y quieren ser así, están aprendiendo a matar antes que a vivir;﻿Calle del Alcalde Sainz de Baranda - Calle Antonio Casero;negative;Estrella;Retiro;Madrid;negative;0.737375020980835;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.737375020980835
15;15;1014;40.4821114;-3.7176758;﻿Marifé Santiago;﻿CARDENAL HERRERA ORIA;Donde la distancia entre la tierra y nuestras manos era la medida de todas las cosas;﻿C/ Cardenal Herrera Oria 239;positive;Peñagrande;Fuencarral-El Pardo;Madrid;neutral;0.0;0.0;0.0;0.0;0.0;0.0;0.7546010613441467;0.0;0.7546010613441467;0.0
16;16;1015;40.4770487;-3.7314315;﻿Axé;﻿FUENCARRAL-EL PARDO;La voz que tripula este barco navega sin olas.;﻿Av. del Cardenal Herrera Oria (Impares) - C/de Inocencio Fernández;positive;Peñagrande;Fuencarral-El Pardo;Madrid;neutral;0.0;0.0;0.0;0.0;0.0;0.0;0.6984915137290955;0.0;0.6984915137290955;0.0
17;17;1017;40.4761438;-3.7191483;﻿evachin;﻿EL PILAR;Por ti, que eres cuerpo sostenido en un alma bemol sale Sol, brilla La, sale Sol;﻿Av. Monforte de Lemos- Calle de Cándido Mateos;positive;Peñagrande;Fuencarral-El Pardo;Madrid;positive;0.0;0.0;0.0;0.6402512788772583;0.0;0.0;0.0;0.6402512788772583;0.0;0.0
18;18;1018;40.4685801;-3.6736768;﻿Sandra Ortega Larrumbide;﻿CHAMARTÍN;Amor es llegar en el momento oportuno y ser del tamaño del hueco vacío del otro.;﻿C/ Pio XII 77;positive;Castilla;Chamartín;Madrid;neutral;0.0;0.0;0.0;0.0;0.0;0.0;0.512771487236023;0.0;0.512771487236023;0.0
19;19;1019;40.4649265;-3.685567;﻿Paula Izquierdo;﻿CHAMARTÍN;Sola, inmersa en el ruido de la ciudad, oigo el silencio de la vida arrostrándose;﻿Calle Gral. López Pozas - Frente a Calle Francisco Suárez;positive;Nueva España;Chamartín;Madrid;neutral;0.0;0.0;0.0;0.0;0.0;0.0;0.2927490770816803;0.0;0.2927490770816803;0.0
20;20;101;40.4892851;-3.7006653;﻿José María Castrillón Suárez;﻿MIRASIERRA;Somos préstamos de calor;﻿C/ Cardenal Herrera Oria 81;positive;La Paz;Fuencarral-El Pardo;Madrid;neutral;0.0;0.0;0.0;0.0;0.0;0.0;0.6461202502250671;0.0;0.6461202502250671;0.0
21;21;1020;40.4593869;-3.6686906;﻿gmm81;﻿CHAMARTÍN;Te espero en la orilla del sueño de siempre;﻿Av. de Alfonso XII (Impares) - Plaza José María Soler;positive;Nueva España;Chamartín;Madrid;positive;0.0;0.0;0.0;0.3453810214996338;0.0;0.0;0.0;0.3453810214996338;0.0;0.0
22;22;1021;40.4726518;-3.6483407;﻿Nerea Delgado;﻿PINAR DEL REY;Nuestros castillos de arena están a salvo: se ha secado el mar de dudas;﻿Calle de Valdetorres de Jarama- Plaza Santos de la Humosa;positive;Pinar del Rey;Hortaleza;Madrid;positive;0.0;0.0;0.0;0.36337199807167053;0.0;0.0;0.0;0.36337199807167053;0.0;0.0
23;23;1022;40.4499109;-3.6081076;﻿Esher Ampuero Gordo;﻿HORTALEZA;Y tú, ¿a cuál de todas tus cicatrices le escribes?;﻿Av. de Logroño- A2;positive;Palomas;Hortaleza;Madrid;neutral;0.0;0.0;0.0;0.0;0.0;0.0;0.7635802626609802;0.0;0.7635802626609802;0.0
24;24;1023;40.459091;-3.7840739;﻿Joaquim Moral Fernàndez-Juncosa;﻿MONCLOA-ARAVACA;Que el teu camí sigui llarg, i ben aviat entenguis que la ciutat és casa.;﻿Av. de la Osa Mayor 85;positive;;Moncloa-Aravaca;Madrid;neutral;0.0;0.0;0.0;0.0;0.0;0.0;0.5728136301040649;0.0;0.5728136301040649;0.0
25;25;1024;40.4525601;-3.6995172;﻿Mariano Peyrou;﻿CUATRO CAMINOS;A veces parecía que podríamos satisfacer los deseos contradictorios.;﻿C/de Avila - C/de Dulcinea;positive;Cuatro Caminos;Tetuán;Madrid;neutral;0.0;0.0;0.0;0.0;0.0;0.0;0.6048183441162109;0.0;0.6048183441162109;0.0
26;26;1025;40.4452795;-3.7030765;﻿Alba Gaia;﻿CHAMBERÍ;Dale alas a un pensamiento y saldrás volando.;﻿Calle Santa Engracia 152;positive;Ríos Rosas;Chamberí;Madrid;neutral;0.0;0.0;0.0;0.0;0.0;0.0;0.7070326805114746;0.0;0.7070326805114746;0.0
27;27;1026;40.4557032;-3.686833;﻿Juan Merallo Grande;﻿CHAMARTÍN;En este precioso lugar secuestraste mi tristeza, chica de la bicicleta;﻿Calle de Padre Damián nº 20 (escuela);positive;Hispanoamérica;Chamartín;Madrid;negative;0.0;0.0;0.0;0.0;0.8779500126838684;0.0;0.0;0.0;0.0;0.8779500126838684
28;28;1027;40.4497557;-3.6879167;﻿LEON BENAVENTE;﻿EL VISO;Contaré hasta 3 y si en ese momento no hemos parado, nada nos va a detener. 1, 2;﻿Paso de la Habana 42 - Calle de Balbina Valverde;positive;El Viso;Chamartín;Madrid;neutral;0.0;0.0;0.0;0.0;0.0;0.0;0.7222598791122437;0.0;0.7222598791122437;0.0
29;29;1028;40.4437086;-3.6918421;﻿TFR;﻿CHAMBERÍ;Segundos eternos y horas efímeras a tu lado;﻿Calle de la Castellana -Sala de Exposiciones La Arquería;positive;Ríos Rosas;Chamberí;Madrid;positive;0.0;0.0;0.0;0.6730464696884155;0.0;0.0;0.0;0.6730464696884155;0.0;0.0
30;30;1029;40.442194;-3.6857923;﻿María Eloy-García;﻿EL VISO;Te cedo el paso. Te cedo el peso. Te cedo el piso Te cedo el poso. Y te cedo el pulso;﻿Calle Serrano 144-Calle Pablo Aranda;positive;El Viso;Chamartín;Madrid;neutral;0.0;0.0;0.0;0.0;0.0;0.0;0.6962200403213501;0.0;0.6962200403213501;0.0
31;31;102;40.4302114;-3.7172573;﻿Marina Oroza;﻿ARGÜELLES;Al corazón de piedra le brota un tallo;﻿Calle del Marqués de Urquijo 11 -Calle Tutor;positive;Argüelles;Moncloa-Aravaca;Madrid;neutral;0.0;0.0;0.0;0.0;0.0;0.0;0.7500893473625183;0.0;0.7500893473625183;0.0
32;32;1030;40.4482391;-3.6679771;﻿Jesús Ruiz Mantilla;﻿ALFONSO XIII;El ser humano debe morir: no ha aprendido a enlazar el final con el principio.;﻿Calle Lopez de Hoyos- Calle Clara del Rey;positive;Prosperidad;Chamartín;Madrid;negative;0.0;0.0;0.0;0.0;0.8419520258903503;0.0;0.0;0.0;0.0;0.8419520258903503
33;33;1031;40.4405191;-3.6279385;﻿Viera3;﻿SAN BLAS;Todo lo que no sea luchado, ya está perdido;﻿calle Alcalá - Calle Rufino González;positive;;San Blas - Canillejas;Madrid;negative;0.0;0.0;0.0;0.0;0.7449478507041931;0.0;0.0;0.0;0.0;0.7449478507041931
34;34;1032;40.432791;-3.6345139;﻿Inma Luna;﻿SAN BLAS;Me paso la vida derribando puertas completamente abiertas;﻿Av de la Institución libre de enseñanza- Calle Ascao;positive;Pueblo Nuevo;Ciudad Lineal;Madrid;negative;0.0;0.0;0.0;0.0;0.6991082429885864;0.0;0.0;0.0;0.0;0.6991082429885864
35;35;1033;40.4358687;-3.6367536;﻿Poetaimperfecta;﻿CIUDAD LINEAL;El mar de ilusiones aguarda, los granos de arena se acaban, lánzate ya;﻿Av. de la Institución libre de enseñanza- Calle del Dr.Cirajas;positive;Pueblo Nuevo;Ciudad Lineal;Madrid;neutral;0.0;0.0;0.0;0.0;0.0;0.0;0.4447583258152008;0.0;0.4447583258152008;0.0
36;36;1034;40.4245148;-3.6157894;﻿LuaraMB;﻿SAN BLAS;Desenchufémonos para volver a conectar :)!;﻿Calle de Arcos de Jalón- Calle la Albericia;positive;Arcos;San Blas - Canillejas;Madrid;positive;0.0;0.0;0.0;0.5777804255485535;0.0;0.0;0.0;0.5777804255485535;0.0;0.0
37;37;1035;40.4206352;-3.7153369;﻿Campe;﻿MONCLOA-ARAVACA;Cada persona hace diferentes las mismas calles;﻿Cuesta San Vicente 22 - Calle Arriaza;positive;Argüelles;Moncloa-Aravaca;Madrid;neutral;0.0;0.0;0.0;0.0;0.0;0.0;0.7655227184295654;0.0;0.7655227184295654;0.0
38;38;1036;40.4276996;-3.6963738;﻿Chus Tellez;﻿CENTRO;Maletas perdidas en Atocha Besos perdidos en la Latina y pasos a la deriva...;﻿Calle Sagasta 32 -Plaza Santa Bárbara 4;positive;Justicia;Centro;Madrid;negative;0.0;0.0;0.0;0.0;0.6075957417488098;0.0;0.0;0.0;0.0;0.6075957417488098
39;39;1037;40.4343539;-3.7166512;﻿Oscar Espirita;﻿MONCLOA;¿Cómo pueden romperse las cosas que nos unen?;﻿Calle Hilarión Eslava - Calle de Fernando el Católico;positive;Gaztambide;Chamberí;Madrid;negative;0.0;0.0;0.0;0.0;0.6924335360527039;0.0;0.0;0.0;0.0;0.6924335360527039
40;40;1038;40.4314915;-3.7033313;﻿alvarudo;﻿CHAMBERÍ;Ojala no acabase nunca la primera vez de algo.;﻿Calle de Fuencarral 36-Calle de Jerónimo de la Quintana;positive;Trafalgar;Chamberí;Madrid;negative;0.0;0.0;0.0;0.0;0.7971855401992798;0.0;0.0;0.0;0.0;0.7971855401992798
41;41;1039;40.4379671;-3.6915431;﻿Valkirya;﻿CHAMBERÍ;No vivas deprisa todo lo que puedas disfrutar lentamente;﻿Calle de José Abascal-Paseo de la Castellana;positive;Almagro;Chamberí;Madrid;neutral;0.0;0.0;0.0;0.0;0.0;0.0;0.4713161289691925;0.0;0.4713161289691925;0.0
42;42;103;40.4306749;-3.6888662;﻿Darmo;﻿SALAMANCA;Por dónde empiezo si no recuerdo el comienzo;﻿Paseo de la Castellana 24 -Calle del Marqués de Riscal;positive;Castellana;Salamanca;Madrid;neutral;0.0;0.0;0.0;0.0;0.0;0.0;0.573787271976471;0.0;0.573787271976471;0.0
43;43;1040;40.4292211;-3.6897942;﻿FlorKa;﻿CHAMBERÍ;Pensarte es como tomar prestada una melodía;﻿Paseo de la Castellana-Calle de Zurbarán;positive;Almagro;Chamberí;Madrid;neutral;0.0;0.0;0.0;0.0;0.0;0.0;0.7797276377677917;0.0;0.7797276377677917;0.0
44;44;1041;40.428139;-3.6897513;﻿Lilith y tú;﻿CHAMBERÍ;Zure taupadak gure ingurunea zabaltzen du;﻿Paseo de la Castellana-Calle de Ayala;positive;Almagro;Chamberí;Madrid;neutral;0.0;0.0;0.0;0.0;0.0;0.0;0.9230257272720337;0.0;0.9230257272720337;0.0
45;45;1042;40.4351806;-3.6625564;﻿Atomilab;﻿SALAMANCA;Todo el tiempo buscando en las redes y acabé en las tuyas;﻿Calle de Martinez izquierdo-Calle de Alberto Martín Artajo;positive;Guindalera;Salamanca;Madrid;neutral;0.0;0.0;0.0;0.0;0.0;0.0;0.3981771469116211;0.0;0.3981771469116211;0.0
46;46;1043;40.4293275;-3.6658273;﻿Casiopea;﻿SALAMANCA;Caminar nos hace fuertes Pensar nos hace libres, reír nos hace felices;﻿Calle Alcalá entre calle Rufino Blanco-calle del Maestro Alonso;positive;Fuente del Berro;Salamanca;Madrid;positive;0.0;0.0;0.0;0.5187819004058838;0.0;0.0;0.0;0.5187819004058838;0.0;0.0
47;47;1044;40.4187953;-3.692632;﻿Cristian Esteban Martín;﻿CENTRO;Si no existiesen los poetas, los invendibles ¿Quién hablaría de lo huérfano?;﻿Paseo del Prado 1 (Correos);positive;Jerónimos;Retiro;Madrid;neutral;0.0;0.0;0.0;0.0;0.0;0.0;0.46665385365486145;0.0;0.46665385365486145;0.0
48;48;1045;40.4105593;-3.71829;﻿David Trashumante;﻿IMPERIAL;Seré blanca escucha, la sombra tras los pasos vivos de mi muerte;﻿Paseo Imperial-Paseo de los Melancólicos;positive;Imperial;Arganzuela;Madrid;negative;0.0;0.0;0.0;0.0;0.4050939977169037;0.0;0.0;0.0;0.0;0.4050939977169037
49;49;1046;40.4162408;-3.6692204;﻿Mireia Calafell Obiol;﻿ESTRELLA;No. No ho vulgueu tot, que el tot està venint. Té tanta pressa com vosaltres.;﻿Calle Doctor Esquerdo 97 - Calle Alcalde Sainz de Baranda;positive;Estrella;Retiro;Madrid;neutral;0.0;0.0;0.0;0.0;0.0;0.0;0.5760499835014343;0.0;0.5760499835014343;0.0
50;50;1047;40.4040513;-3.6369104;﻿Sara Rubio Garrido;﻿MORATALAZ;Si nos estamos cruzando no puede ser casualidad;﻿Calle Luis de Hoyo Sáinz (colegio);positive;Vinateros;Moratalaz;Madrid;neutral;0.0;0.0;0.0;0.0;0.0;0.0;0.38842251896858215;0.0;0.38842251896858215;0.0
51;51;1048;40.385006;-3.7182034;﻿Antonio Remache;﻿PLAZA ELÍPTICA;Me falta un beso y me sobra una despedida;﻿Vía Lusitana - Plaza Elíptica;positive;Abrantes;Carabanchel;Madrid;negative;0.0;0.0;0.0;0.0;0.5565316081047058;0.0;0.0;0.0;0.0;0.5565316081047058
52;52;1049;40.3999253;-3.6909676;﻿Nach;﻿DELICIAS;No hay certeza más bella que el hecho de saber que aún queda tiempo.;﻿Calle del Gral. Lacy- Calle de Ramírez de Prado;positive;Palos de la Frontera;Arganzuela;Madrid;positive;0.0;0.0;0.0;0.638228178024292;0.0;0.0;0.0;0.638228178024292;0.0;0.0
53;53;104;40.4137901;-3.7168256;﻿Macarena Castaño Carrasco;﻿CENTRO;Silencia la ciudad. En la pausa te escuchas.;﻿Ronda de Segovia-Calle de Segovia;positive;Palacio;Centro;Madrid;neutral;0.0;0.0;0.0;0.0;0.0;0.0;0.6210599541664124;0.0;0.6210599541664124;0.0
54;54;1050;40.4002225;-3.649883;﻿Elena Grausen;﻿PUENTE DE VALLECAS;"Quererte como sólo tú me enseñaste a querer; por encima de mis posibilidades.";﻿C/ El Bosco (frente a puente peatonal) - C/de Ramón Pérez de Ayala;positive;Numancia;Puente de Vallecas;Madrid;positive;0.0;0.0;0.0;0.44228988885879517;0.0;0.0;0.0;0.44228988885879517;0.0;0.0
55;55;1051;40.3865643;-3.6973715;﻿Víctor Manuel;﻿USERA;Digo España y qué bien suena esa palabra. No la arrojo contra nadie, contra nada;﻿C/ Antonio López 169;positive;Almendrales;Usera;Madrid;positive;0.0;0.0;0.0;0.5510351061820984;0.0;0.0;0.0;0.5510351061820984;0.0;0.0
56;56;1052;40.3439151;-3.6930665;﻿Gema Fernández Martínez;﻿CARABANCHEL;Como un mantra doméstico repito: Una hemorragia, el mundo. Tú y yo un coágulo.;﻿Av. de Andalucía (mercadona)- Calle de S. Dalmacio;positive;;Villaverde;Madrid;neutral;0.0;0.0;0.0;0.0;0.0;0.0;0.772120475769043;0.0;0.772120475769043;0.0
57;57;1053;40.4665558;-3.6862885;﻿Loreto Sesma;﻿PZA. CASTILLA;Quédate el beso, quema el verso, quítate el peso y vuela;﻿C/ Mateo Inurria 13 (del lado de los pares);positive;Castilla;Chamartín;Madrid;neutral;0.0;0.0;0.0;0.0;0.0;0.0;0.6595644950866699;0.0;0.6595644950866699;0.0
58;58;1054;40.4551521;-3.702532;﻿javierlópex;﻿TETUÁN;Los pasos que nos dictaron nunca fueron nuestros;﻿C/ Bravo Murillo 194;positive;Berruguete;Tetuán;Madrid;neutral;0.0;0.0;0.0;0.0;0.0;0.0;0.6734015345573425;0.0;0.6734015345573425;0.0
59;59;1055;40.4325757;-3.725021;﻿Lena Carrilero;﻿MONCLOA-ARAVACA;De qué sirve tener tantos pájaros en la cabeza si ninguno sabe volar;﻿Paseo del Moret - Avenida del Pintor Rosales;positive;Casa de Campo;Moncloa-Aravaca;Madrid;negative;0.6039266586303711;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6039266586303711
60;60;1056;40.4301204;-3.6642931;﻿Alberto Muñoz García;﻿VENTAS;El silencio como un unicornio nocturno muriéndose en el óvalo de la nada.;﻿Calle Alcalá-Calle Bocángel;positive;Fuente del Berro;Salamanca;Madrid;neutral;0.0;0.0;0.0;0.0;0.0;0.0;0.6084941625595093;0.0;0.6084941625595093;0.0
61;61;1057;40.4092972;-3.6884773;﻿Martín López-Vega;﻿CENTRO;Deja sin responder todas las preguntas y atiende sólo a lo que late;﻿Calle de Alfonso XII-Puerta del Ángel Caído;positive;Jerónimos;Retiro;Madrid;neutral;0.0;0.0;0.0;0.0;0.0;0.0;0.6274285316467285;0.0;0.6274285316467285;0.0
62;62;1058;40.4181102;-3.6690849;﻿Teresa Garrido González;﻿RETIRO;Si miras al cielo eres un pastor de nubes;﻿Calle Doctor Esquerdo 83 (Hospital Beata María Ana);positive;Estrella;Retiro;Madrid;neutral;0.0;0.0;0.0;0.0;0.0;0.0;0.7849081158638;0.0;0.7849081158638;0.0
63;63;1059;40.4105174;-3.6579979;﻿elpirulí;﻿MORATALAZ;Cada 12 horas el río es la ría, cada 12 horas el mar es la mar. Cada 12 horas.;﻿C/ del Camino de los Vinateros (Pares)  - C/ del Corregidor Diego de Valderrábano;positive;Media Legua;Moratalaz;Madrid;neutral;0.0;0.0;0.0;0.0;0.0;0.0;0.8520264625549316;0.0;0.8520264625549316;0.0
64;64;105;40.413927;-3.7118474;﻿José Miguel Cuervo Baños;﻿CENTRO;Más Amor y Menos Gigas;﻿Calle de Segovia-Plaza de la Cruz Verde;positive;Palacio;Centro;Madrid;neutral;0.0;0.0;0.0;0.0;0.0;0.0;0.4180092215538025;0.0;0.4180092215538025;0.0
65;65;1060;40.3974016;-3.6968591;﻿Bella;﻿ARGANZUELA;The only way to fly is not to fear the heights;﻿Calle Embajadores 133;positive;Delicias;Arganzuela;Madrid;neutral;0.0;0.0;0.0;0.0;0.0;0.0;0.6898794770240784;0.0;0.6898794770240784;0.0
66;66;1061;40.4062072;-3.6797736;﻿Fangoria;﻿PACÍFICO;Todo en este plan espectacular, una vieja superstar se ha cansado de esperar;﻿Avenida Menéndez Pelayo 28 - Calle Valderribas;positive;Pacífico;Retiro;Madrid;neutral;0.0;0.0;0.0;0.0;0.0;0.0;0.4866407513618469;0.0;0.4866407513618469;0.0
67;67;1062;40.3732364;-3.7416628;﻿Almudena Vega;﻿CARABANCHEL;Aprendamos de óxido esa hazaña del metal por escapar de la forma.;﻿Av. de los Poblados;positive;Buenavista;Carabanchel;Madrid;neutral;0.0;0.0;0.0;0.0;0.0;0.0;0.8585731983184814;0.0;0.8585731983184814;0.0
68;68;1063;40.4792481;-3.6917079;﻿ANA MARIA TORRES BRAVO;﻿FUENCARRAL-EL PARDO;Llegaré tarde. Salí con el tiempo justo en el año equivocado.;﻿Av. de Monforte de Lemos- Calle de Pedro Rico;positive;La Paz;Fuencarral-El Pardo;Madrid;neutral;0.0;0.0;0.0;0.0;0.0;0.0;0.6157565712928772;0.0;0.6157565712928772;0.0
69;69;1064;40.456746;-3.6978865;﻿Macamen Alonso.;﻿TETUÁN;Os adornos efémeros agachan unha trampa. A beleza distrae.;﻿C/ San Germán 44;positive;Cuatro Caminos;Tetuán;Madrid;neutral;0.0;0.0;0.0;0.0;0.0;0.0;0.7899466753005981;0.0;0.7899466753005981;0.0
70;70;1065;40.451364;-3.6814768;﻿Miguel CM;﻿CHAMARTÍN;Dime qué no puedo hacer y lo haré gracias a ti.;﻿Calle Serrano-Av. de Concha Espina;positive;El Viso;Chamartín;Madrid;neutral;0.0;0.0;0.0;0.0;0.0;0.0;0.5166576504707336;0.0;0.5166576504707336;0.0
71;71;1066;40.4232571;-3.6354312;﻿elnaveiras;﻿AMPOSTA;ellos y ellas no deberían encontrar fronteras  tú y yo no deberíamos crearlas;﻿Calle Francisco Largo Caballero-Calle Nicolás Salmerón;positive;Pueblo Nuevo;Ciudad Lineal;Madrid;neutral;0.0;0.0;0.0;0.0;0.0;0.0;0.6115720868110657;0.0;0.6115720868110657;0.0
72;72;1067;40.4254082;-3.7074459;﻿Pascual Cantero;﻿NOVICIADO;Llegué hasta ti, iba buscando un sueño y me perdí por bares y por calles de Madrid.;﻿Calle de San Bernardo- Calle de Noviciado;positive;Universidad;Centro;Madrid;negative;0.0;0.0;0.0;0.0;0.6306769847869873;0.0;0.0;0.0;0.0;0.6306769847869873
73;73;1068;40.4246435;-3.6710523;﻿Julia Navas Moreno;﻿SALAMANCA;Tienes miedo de mí, de tu pequeñez, de ti mismo pero es a mí a quien cercenas;﻿Calle de la Fuente del Berro;neutral;Goya;Salamanca;Madrid;negative;0.26563510298728943;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.26563510298728943
74;74;1069;40.3992819;-3.6845425;﻿Óscar Ayala;﻿ARGANZUELA;El mundo no transforma la palabra, pero sí la manera de estar en la palabra.;﻿Calle de Médez Álvaro - Plaza del Amanecer en Méndez Álvaro;positive;Delicias;Arganzuela;Madrid;neutral;0.0;0.0;0.0;0.0;0.0;0.0;0.8238517642021179;0.0;0.8238517642021179;0.0
75;75;106;40.4109964;-3.6670008;﻿MORGAN;﻿ESTRELLA;Cúrame viento, ven a mí y llévame lejos.;﻿Calle de los Astros 14 - Calle de la Estrella Polar;positive;Estrella;Retiro;Madrid;negative;0.0;0.0;0.0;0.0;0.5355665683746338;0.0;0.0;0.0;0.0;0.5355665683746338
76;76;1070;40.3916624;-3.6541504;﻿Fito Páez;﻿PUENTE DE VALLECAS;Ella se vuelve carmesí, no sé si es Baires o Madrid;﻿Av. de la Albufera - Calle Pío Felipe;neutral;Numancia;Puente de Vallecas;Madrid;neutral;0.0;0.0;0.0;0.0;0.0;0.0;0.8323149085044861;0.0;0.8323149085044861;0.0
77;77;1071;40.3824087;-3.7431863;﻿Nuria Ruiz de Viñaspre;﻿CARABANCHEL;Me ha crecido un bosque por dentro;﻿C/ Gral. Ricardos 195 (del lado de los pares) - C/ del Espinar;positive;Vista Alegre;Carabanchel;Madrid;neutral;0.0;0.0;0.0;0.0;0.0;0.0;0.43933960795402527;0.0;0.43933960795402527;0.0
