id|latitud|longitud|autor|barrio|verso|direccion
1064|40.456746|-3.6978865|﻿Macamen Alonso.|﻿TETUÁN|Os adornos efémeros agachan unha trampa. A beleza distrae.|﻿C/ San Germán 44
1065|40.451364|-3.6814768|﻿Miguel CM|﻿CHAMARTÍN|Dime qué no puedo hacer y lo haré gracias a ti.|﻿Calle Serrano-Av. de Concha Espina
1066|40.4232571|-3.6354312|﻿elnaveiras|﻿AMPOSTA|ellos y ellas no deberían encontrar fronteras  tú y yo no deberíamos crearlas|﻿Calle Francisco Largo Caballero-Calle Nicolás Salmerón
1067|40.4254082|-3.7074459|﻿Pascual Cantero|﻿NOVICIADO|Llegué hasta ti, iba buscando un sueño y me perdí por bares y por calles de Madrid.|﻿Calle de San Bernardo- Calle de Noviciado
1068|40.4246435|-3.6710523|﻿Julia Navas Moreno|﻿SALAMANCA|Tienes miedo de mí, de tu pequeñez, de ti mismo pero es a mí a quien cercenas|﻿Calle de la Fuente del Berro
1069|40.3992819|-3.6845425|﻿Óscar Ayala|﻿ARGANZUELA|El mundo no transforma la palabra, pero sí la manera de estar en la palabra.|﻿Calle de Médez Álvaro - Plaza del Amanecer en Méndez Álvaro
106|40.4109964|-3.6670008|﻿MORGAN|﻿ESTRELLA|Cúrame viento, ven a mí y llévame lejos.|﻿Calle de los Astros 14 - Calle de la Estrella Polar
1070|40.3916624|-3.6541504|﻿Fito Páez|﻿PUENTE DE VALLECAS|Ella se vuelve carmesí, no sé si es Baires o Madrid|﻿Av. de la Albufera - Calle Pío Felipe
1071|40.3824087|-3.7431863|﻿Nuria Ruiz de Viñaspre|﻿CARABANCHEL|Me ha crecido un bosque por dentro|﻿C/ Gral. Ricardos 195 (del lado de los pares) - C/ del Espinar
1072|40.3796954|-3.7298129|﻿María Cabañas|﻿ABRANTES|La suerte no es azar sino un montón de ideas ordenadas al compás|﻿Av. Abrantes 66
1073|40.4251642|-3.6802858|﻿Manonsi|﻿SALAMANCA|Perdí mis sueños por tus calles. Allí seguirán, dando de comer a los gorriones.|﻿Calle de Goya-Calle del Príncipe de Vergara
1074|40.4441159|-3.7100502|﻿Nerea Pallarés|﻿VALLEHERMOSO|El aire está tan detenido que observar las ruinas es contemplar su postal|﻿Paseo de San Francisco de Sales - Calle del General Ibáñez Ibero
1075|40.4367547|-3.717995|﻿Maria Jesus Silva Garcia|﻿GAZTAMBIDE|hay una cabeza sin boca conectada a un corazón que pisamos cada día cada vida|﻿Calle de Isaac Peral 20 - Calle Donoso Cortés
1076|40.4356605|-3.7183624|﻿Estelle Talavera Baudet|﻿MONCLOA|Tus pies, sístole y diástole, entre las vértebras del corazón de madroño.|﻿Calle de Isaac Peral 6 del lado de los impares - Calle Fernández de los Ríos
1077|40.4051163|-3.7018025|﻿Victoria Zárate|﻿EMBAJADORES|Eres recuerdo blanco. Nada pesa entre mis manos y sin embargo te puedo retener|﻿Glorieta de Embajadores-Ronda de Valencia
1078|40.4151849|-3.6887402|﻿RODRIGO SANCHO FERRER|﻿CENTRO|¿Había ya rocío sobre las flores la primera mañana del mundo?|﻿Calle de Alfonso XII 30 (del lado de los impares) - Puerta Felipe IV
1079|40.368563|-3.6632967|﻿Elsa López|﻿ENTREVÍAS|Estas tierras vacías para nadie. Para nadie tanto resplandor. Tanta luz para nadie|﻿Camino del Barrio de la Celsa (subida) - Anillo verde ciclista
107|40.3689287|-3.7123825|﻿Hasier Larretxea|﻿ORCASITAS|Gure itzalek iraganean deklinatzen dute.|﻿Av. de Rafaela Ybarra - C/ Villabona
1080|40.4335708|-3.6470653|﻿Arantxa Oteo|﻿QUINTANA|Soy la mujer de colores y no voy a consentir que nadie me vuelva gris.|﻿Calle de Alcalá-Calle Ezequiel Solana
1081|40.4128099|-3.6928198|﻿Michelle Roche|﻿PRADO|La identidad es el ideograma donde se funden las memorias familiares y las decisiones propias|﻿Paseo del Prado-Plaza Murillo (Esquina Prado)
1082|40.4248926|-3.7160316|﻿Michelle Roche|﻿ARGÜELLES|Nadie es un candidato tan popular para el agravio como una víctima|﻿Calle Ferraz 22
1083|40.4373875|-3.6862375|﻿Daniel Velázquez|﻿CASTELLANA|Muchos están dormidos, consumando, consumiendo, muriendo creyendo estar viviendo|﻿Calle de Serrano-Calle de María de Molina
1084|40.4102407|-3.7091933|﻿Antonio Flores|﻿CENTRO|Puedo soñar que tengo el cielo sembrado de arrecifes de coral|﻿Calle de Toledo- Calle de López de Silva
1085|40.4076347|-3.7261999|﻿Joan Manuel Serrat|﻿PUERTA DEL ÁNGEL|Sin utopía la vida sería un ensayo para la muerte|﻿C/ Sepulveda 3-5
1086|40.4146825|-3.6934635|﻿David La M.O.D.A.|﻿RECOLETOS|Recuerdo lo que me dijo mi abuelo aquella mañana, se puede perder la vista pero nunca la mirada|﻿Paseo del Prado-Fuente de Neptuno (Frente Acceso Prado)
1087|40.4212545|-3.6727963|﻿Juan Manuel Rodríguez Tobal|﻿CENTRO|La luz en ti se cumple, no termina.|﻿Calle Maiquez (Urgencias Maternidad de O´Donnell)
1088|40.4885477|-3.6853686|﻿El Chojín|﻿VALVERDE|Cuando me quieran ahogar seré un pez... cuando me pongan barreras, volaré|﻿Av. del llano castellano 51
1089|40.4707114|-3.8254121|﻿Nerea Pallarés|﻿EL PLANTÍO|Como adolescentes alimentando los contenedores, necesitamos que algo explote|﻿Av. de la Victoria 68 (del lado e los impares)
108|40.4744708|-3.6975686|﻿Miguel Ángel Jiménez Jara|﻿FUENCARRAL-EL PARDO|Los amores no matan.|﻿Calle de Sinesio Delgado- Hospital Carlos III
1090|40.441654|-3.7269456|﻿Ikix|﻿MONCLOA|Ironía es llamarlas calles cuando lo que hicimos aquí llenó mi vida de ruido.|﻿Avenida Complutense - Calle Dr. Severo Ochoa
1091|40.4525009|-3.7111957|﻿Pablo Quirós de Andrés|﻿TETUÁN|Madrid, donde los gatos se beben las noches y duermen al sol|﻿Calle Dr. Federico Rubio y Galí 53
1092|40.452166|-3.6854061|﻿jorge m molinero|﻿EL VISO|Arrasé un campo de margaritas porque sabían del amor más que yo.|﻿Paseo de la Habana - Av de Concha Espina
1093|40.4443975|-3.6785638|﻿Fraskito|﻿PRÍNCIPE DE VERGARA|Castigo tiene una nota que no suena y el corazón la mantiene|﻿Calle Príncipe de Vergara - Calle María Francisca
1094|40.4378366|-3.638387|﻿Sharif|﻿CIUDAD LINEAL|Ella buscaba un cuerpo para huir del frío, yo buscaba un cuerpo para huir del mío|﻿Calle Alcalá- Calle de Arturo Soria
1095|40.4225955|-3.6185227|﻿Álvaro Extraviz Menjíbar|﻿SAN BLAS|Ya quisiera el oro valer la mitad que tu tiempo.|﻿Calle de Amposta- Calle de Arcos de Jalón
1096|40.4222371|-3.7126521|﻿María Martínez Bautista|﻿UNIVERSIDAD|La tristeza es vulgar si no es inmensa y esconde muchas veces un placer venenoso|﻿Plaza de España (Bajo Calle de Bailén)
1097|40.4352165|-3.6883458|﻿LUIS AGUILAR|﻿CASTELLANA|Envejecer debería ser como Octubre: tierno diluirse de prominencias y oquedades|﻿Calle del Gral. Oraá-Paseo de la Castellana
1098|40.4375244|-3.6828366|﻿Sergio Espinosa|﻿AV. AMÉRICA|aprendimos a cazar pero nunca a recibir la flecha en nuestro vientre|﻿Calle de María de Molina-Calle de Velázquez
1099|40.3883192|-3.6699513|﻿Lara López|﻿ENTREVÍAS|Suena un lied de Strauss. Parece que va a llover. Madrid se ha quedado callada.|﻿Av. de San Diego - Calle Gregorio Navas
109|40.4457825|-3.7150767|﻿Carlos Ussía Bescós|﻿CHAMBERÍ|Contigo el tiempo se pasa molando|﻿Calle de la Moncloa - Glorieta del Presidente García Moreno
1100|40.4519456|-3.689746|﻿539.paper.st|﻿CHAMARTÍN|El tiempo habla despacio, pero se le entiende muy bien.|﻿Av de Concha Espina - Plaza de Lima
1101|40.4305983|-3.6633784|﻿Joan Manuel Serrat|﻿SALAMANCA|No hay nada más bello que lo que nunca he tenido, nada más amado que lo que perdí.|﻿Calle Alcalá-Calle Almería
1102|40.3954774|-3.7476454|﻿Ariadna G. García|﻿ALUCHE|Disfruto el sueño que he tenido el valor de imaginar|﻿C/ de la Duquesa de Parcent 52
1103|40.4005636|-3.6859748|﻿Lola Mascarell|﻿MÉNDEZ ÁLVARO|Quizás lo que nos salva son los raros momentos en que no pasa nada.|﻿Calle de Méndez Álvaro - Calle de Bustamante
1104|40.3526939|-3.6991404|﻿Javier Campelo Bermejo|﻿VILLAVERDE|Incluso en el calor voraz de cada asfixia Voy derramando sombra de montaña|﻿Calle de Anoeta (Pares)-Calle de la del Manojo de Rosas
1105|40.3817834|-3.624563|﻿Loquillo|﻿VILLA DE VALLECAS|No vine aquí para hacer amigos, pero sabes que siempre puedes contar conmigo.|﻿Calle de Sierra de Guadalupe- Calle de San Jaime
1106|40.4396903|-3.7258888|﻿Santy Pérez|﻿CIUDAD UNIVERSITARIA|Si preguntan les dices que Madrid curó cicatrices que el tiempo no logró coser|﻿Av. de la memoria - Plaza Cardenal Cisneros
1107|40.40818|-3.7156641|﻿Laura Sam|﻿IMPERIAL|Así sobrevives, más alta que nadie en tu asfixia, buscándole al cielo la lengua.|﻿Ronda de Segovia (Frente Escaleras)
1108|40.4024223|-3.7006679|﻿Begoni|﻿ARGANZUELA|Nos conocimos en un abrir y cerrar de apps.|﻿Calle Embajadores 100
1109|40.4792145|-3.7047073|﻿Rafael Lechowski|﻿BARRIO DEL PILAR|Hubo una Edad de Oro de la humanidad: fue antes de que la humanidad descubriera el oro|﻿Av. Monforte de Lemos- Calle Gingo de Limia
110|40.3719838|-3.7544409|﻿Alba Ribas|﻿CARABANCHEL|Amor disléxico: el resto de tu lado a mi vida|﻿C/ de Joaquín Turina (frente a colegio Marianista Hemanos Amorós)
1110|40.4199553|-3.7021647|﻿Leiva|﻿GRAN VÍA|El universo en llamas la lluvia en los zapatos|﻿Calle Gran Vía-Calle de las Tres Cruces
1111|40.4331003|-3.7043936|﻿Pablo Morante|﻿QUEVEDO|Siempre hay un momento para morir de nuevo|﻿Calle de San Bernardo 130 - Glorieta de Quevedo
1112|40.4760153|-3.7158438|﻿David González|﻿EL PILAR|nadie es profeta en su tierra hasta que no se encuentra enterrado debajo de ella|﻿Calle Camino de Ganapanes-Calle de La Bañeza
1113|40.4631276|-3.6513823|﻿Fanny Rubio|﻿CANILLAS|La aurora rosa juega a dibujar la marca de unos dedos invisibles que bucean desde ayer en tu vestido|﻿Carr. de Carrillas (Impares) - C/ Matapozuelos
1114|40.4225464|-3.7093342|﻿Rodrigo Cortés|﻿CENTRO|No practiques la ironía si tienes la tentación de aclararla|﻿Calle Gran Vía-Calle Isabel la Católica
1115|40.4712205|-3.7115095|﻿Ahmad Yamani|﻿EL PILAR|Se me olvidó tu casa, pero nunca se me olvida el camino que conduce a ella.|﻿Calle de Sinesio Delgado- Av. de Betanzos
1116|40.4710755|-3.6883861|﻿Ángel Pérez Gómez|﻿TETUÁN|Imprimo átomos de mis pies en el suelo de esta ciudad y ella cuida de mis pasos.|﻿Paseo de la Castellana 221
1117|40.4620102|-3.689891|﻿Pablo Cerezal|﻿CASTILLEJOS|afuera es la ciudad en vértigo de rostros tan ajena a ti, extranjera de nosotros|﻿Paseo de la Castellana 173 - C/ Rosario Pino
1118|40.4652682|-3.6889519|﻿Óscar Brochado Kith|﻿CHAMARTÍN|Only when you touch my skin I realise that it`s really thin.|﻿Paseo de la Castellana - Plaza Castilla 9 (Depósito)
1119|40.4585052|-3.7157635|﻿Luis Eduardo Aute|﻿BELLASVISTAS|Por mí que reviente el planeta en confeti esta noche. Quiero bailar un slow with you tonight|﻿C/ Francos Rodriguez 79-81 (UNED)
111|40.4109003|-3.6926333|﻿Pablo Messiez|﻿CENTRO|Toda mirada desea|﻿Paseo del Prado-Caixa Forum
1120|40.4484923|-3.678136|﻿ÁLEX PRADA|﻿EL VISO|CUANDO TUVE EL UNIVERSO ENTRE MIS MANOS SE ME ANTOJÓ LA MOTA DE POLVO|﻿Calle Príncipe de Vergara- Plaza de Cataluña
1121|40.4230804|-3.7074419|﻿Andrés Calamaro|﻿SAN BERNARDO|La vida es una cárcel con las puertas abiertas|﻿Calle de San Bernardo-Calle de la Luna
1122|40.4349419|-3.6864522|﻿Ajo|﻿SALAMANCA|Viven por encima de nuestras pasividades|﻿Calle de Serrano-Calle Diego de León
1123|40.3912886|-3.7028445|﻿Bowl Tang Clan|﻿USERA|Un animal en libertad es mucho más inteligente.|﻿C/ Antonio López 138 (del lado de los impares)
1124|40.3854896|-3.6958667|﻿Rupi Kaur|﻿ALMENDRALES|Pero no fui hecha con un fuego en mi vientre para poder ser sofocado.|﻿C/ del Vado - C/Antonio López
1125|40.4198236|-3.6923356|﻿Verónica Aranda|﻿CENTRO|Ciudad y no ciudad, universo de tránsito, en donde los viajeros traducían el mundo|﻿Paseo de Recoletos-Calle de Alcalá
1126|40.4783596|-3.7098143|﻿Marifé Santiago|﻿EMBAJADORES|Hay un regreso al vientre de la ciudad más mía, desde la que mi alma y yo jugamos con el tiempo a tejer mundos|﻿Av. Monforte de Lemos- Junta Municipal Distrito Fuencarral, el Pardo
1127|40.4318171|-3.6868827|﻿María Antonia Ortega|﻿CASTELLANA|Los poetas y la muerte se parecen en que restituyen la igualdad|﻿Calle de Serrano-Calle de Padilla
1128|40.4294212|-3.6872247|﻿Eduardo Rezzano|﻿SALAMANCA|Quise poner las cosas en su lugar, pero las cosas hablaban y me confundían.|﻿Calle de Serrano-Calle Marqués de Villamagna
1129|40.4213397|-3.6884519|﻿Mar Valdecantos|﻿SALAMANCA|No olvidemos que bajo la ciudad late con fuerza la tierra|﻿Calle de Serrano-Calle de Recoletos
112|40.4124652|-3.7037263|﻿Benjamín Prado|﻿TIRSO DE MOLINA|Media verdad ya es toda la mentira|﻿Plaza Tirso de Molina-
1130|40.4689453|-3.820464|﻿Chema Lagaron|﻿EL PLANTÍO|A donde yo voy no hay lugar para corazones dormidos para soledades enfermas|﻿Av. de la Victoria 36 (del lado e los impares)
1131|40.426671|-3.6877122|﻿ALBERTO Prieto Román|﻿SALAMANCA|Cambiar fronteras por pasos de peatones y que la vida sea la preferencia.|﻿Calle de Serrano-Calle de Hermosillo
1132|40.422668|-3.6884089|﻿Colina|﻿SALAMANCA|Llegó, defendió, vivió y se quedó en Madrid siempre.|﻿Calle de Serrano-Calle de Villanueva
1133|40.4350562|-3.6611778|﻿Héctor Arnau Salvador|﻿SALAMANCA|sombra o cebra fui y caí bajo esta sombría geometría de los hombres: sí, písame|﻿Calle de Martinez Izquierdo-Calle de Roberto Domingo
